id,latitude,longitude,type
100431,46.255906,6.824462,Restaurant
100449,46.281019,6.720049,ReligiousSite
100535,46.263695,6.841114,Restaurant
100538,46.26256,6.838421,Restaurant
100561,46.26299,6.83812,Restaurant
100569,46.262211,6.840663,Restaurant
100599,44.439173,4.316082,Museum
100647,46.263977,6.839944,Restaurant
100721,46.25555,6.823497,Restaurant
100737,46.254504,6.821995,Restaurant
100751,44.727254,5.107827,Museum
100789,46.295269,6.789186,Restaurant
100796,46.294601,6.79616,Restaurant
100813,46.189231,6.776594,Restaurant
100879,46.185707,6.705086,Restaurant
100880,46.295262,6.789855,Restaurant
100883,45.976327,5.249662,ReligiousSite
100904,46.269717,6.839225,Restaurant
100983,46.280478,6.719814,Restaurant
101027,46.187303,6.69488,Restaurant
101056,45.746297,4.003114,Museum
101166,46.175327,6.707319,Restaurant
101183,45.875922,6.141851,Restaurant
101229,46.180218,6.70145,Restaurant
101253,45.628199,5.424276,Restaurant
101369,44.622176,4.588239,Restaurant
101460,46.195545,6.686246,Restaurant
101497,45.227719,6.741948,Restaurant
101547,46.177263,6.707661,Restaurant
101566,45.320372,6.989923,Restaurant
101644,46.138928,4.700732,Restaurant
101870,45.143,5.8297,Restaurant
101882,46.182368,6.6998,Restaurant
101974,46.257976,6.828625,Restaurant
102079,44.286534,4.931917,Museum
102432,45.417732,6.65176,Restaurant
102587,44.362305,5.141795,Museum
102621,45.407715,6.633875,Restaurant
102767,45.432003,6.621835,Restaurant
102854,45.564016,5.924487,Museum
102909,45.814749,6.209048,Restaurant
102975,45.723079,6.308341,Restaurant
103120,45.759529,6.316538,Restaurant
103323,45.392963,6.575507,Restaurant
103483,45.397321,6.567807,Restaurant
103536,45.373665,6.577854,Restaurant
103540,45.396831,6.566061,Restaurant
103586,45.417537,6.65396,Restaurant
103613,45.620521,5.670619,Restaurant
103996,45.749998,6.579695,Restaurant
